,Name,InvestId,ProjectId,ProjectType,ReInvestType,AssetType,InvestMode,TotalCount,Amount,AccruedRevenue,InvestDate
0,5万专享标[20200616-6],4194798,1099383,104046,1,10,1,18,55000.0,2218.83,2020-06-16 20:55
1,安心投[20200604-21],4180788,1096218,104046,1,10,1,40,80000.0,3638.35,2020-06-05 15:57
2,安心投[20200428-14],4125739,1087193,104046,1,10,1,17,50000.0,2641.78,2020-04-29 01:43
3,安心投[20200325-10],4073364,1080286,104046,1,10,1,22,30000.0,1858.35,2020-03-25 22:15
4,安心投[20200222-16],4013644,1075278,104046,1,10,1,4,10000.0,700.13,2020-02-23 00:09
5,5万专享标[20200218-9],4005850,1074707,104046,1,10,1,22,65000.0,4618.56,2020-02-19 02:27
6,安心投[20200209-6],3986554,1073314,104046,1,10,1,25,60000.0,4403.83,2020-02-10 01:16
7,安心投[20200130-10],3974612,1071404,104046,1,10,1,37,50000.0,3958.9,2020-02-03 19:13
8,安心投[20200120-11],3953710,1070104,104046,1,10,1,123,110000.0,9041.09,2020-01-23 10:05
9,安心投[20191126-17],3839898,1055266,104046,1,10,1,157,100000.0,10102.46,2019-11-26 15:14
10,安心投[20191112-12],3823625,1050859,104046,1,10,1,41,20000.0,2016.43,2019-11-16 22:41
11,安心投[20191107-23],3802203,1050000,104046,1,10,1,4,10000.0,981.23,2019-11-07 23:20
12,安心投[20191028-10],3781967,1048513,104046,1,10,1,520,100000.0,10892.6,2019-10-29 15:22
13,VIP特权标[20190928-14],3722086,1032725,104046,1,10,1,44,15000.0,1709.58,2019-09-29 10:13
14,VIP特权标[20190920-7],3682046,1027736,104046,1,10,1,32,60000.0,6986.3,2019-09-20 20:59
15,VIP特权标[20190919-2],3678733,1027067,104046,1,10,1,49,30000.0,3501.36,2019-09-19 12:11
